,23,Population,Arson Rate
Modoc,0,9335,0.0
Alpine,0,1202,0.0
Inyo,0,18439,0.0
Calaveras,0,44921,0.0
Sierra,0,3019,0.0
Mariposa,0,17946,0.0
El Dorado,4,181465,2.2042818174303586e-05
Siskiyou,1,44261,2.2593253654458778e-05
Lassen,1,33356,2.997961386257345e-05
Nevada,4,98606,4.0565482830659394e-05
Marin,18,256802,7.009291204897158e-05
Shasta,14,178520,7.842258570468294e-05
Sutter,8,95067,8.415117759054141e-05
Orange,263,3086331,8.521445042673646e-05
San Benito,5,56888,8.789199831247364e-05
San Diego,280,3183143,8.79633745640708e-05
San Mateo,70,739837,9.46154355621576e-05
Glenn,3,28019,0.00010707020236268247
Ventura,91,835790,0.00010887902463537492
Placer,41,361518,0.00011341067388069197
Riverside,276,2266899,0.00012175222627915933
Santa Barbara,54,431555,0.00012512889434718633
Sonoma,72,491790,0.0001464039529067285
Trinity,2,13515,0.00014798372179060303
Plumas,3,19286,0.0001555532510629472
Madera,24,152452,0.00015742659984782094
San Luis Obispo,44,274184,0.0001604761765821492
Monterey,71,424927,0.00016708752326870263
Kings,27,151390,0.0001783473148820926
Tuolumne,10,54347,0.000184002796842512
Sacramento,278,1450277,0.0001916875190049901
Contra Costa,208,1081232,0.00019237314470899863
Tulare,87,451108,0.00019285847291557675
San Bernardino,416,2078586,0.00020013605402903706
Santa Cruz,54,267203,0.0002020935393689442
Mono,3,14193,0.0002113718030014796
Colusa,5,21424,0.0002333831217326363
Alameda,381,1559308,0.0002443391555741393
Lake,16,64209,0.0002491862511485929
Solano,106,421624,0.0002514088382065537
Los Angeles,2711,9974203,0.0002718011654665541
Yuba,20,73059,0.00027375135164729877
Fresno,274,948844,0.0002887724430991817
San Joaquin,203,701050,0.0002895656515227159
Stanislaus,169,522794,0.0003232630825908484
San Francisco,277,829072,0.0003341084972113399
Butte,75,221578,0.00033848125716451994
Merced,89,261609,0.00034020236306854886
Tehama,22,63284,0.0003476392137033057
Napa,50,139253,0.0003590586917337508
Amador,15,37159,0.0004036707123442504
Yolo,88,204162,0.00043103026028350037
Mendocino,44,87612,0.0005022143085422088
Humboldt,71,134876,0.0005264094427474124
Imperial,104,177026,0.0005874843243365381
Del Norte,18,28066,0.000641345400128269
Kern,843,857730,0.0009828267636668882
