,11,Population,Property Crime Rate
Modoc,66,9335,0.71%
San Benito,472,56888,0.83%
Mariposa,182,17946,1.01%
Sierra,31,3019,1.03%
Nevada,1191,98606,1.21%
Lassen,419,33356,1.26%
Mono,187,14193,1.32%
Shasta,2413,178520,1.35%
Sonoma,6760,491790,1.37%
El Dorado,2559,181465,1.41%
Mendocino,1255,87612,1.43%
Siskiyou,636,44261,1.44%
Ventura,12634,835790,1.51%
Napa,2162,139253,1.55%
Colusa,347,21424,1.62%
Plumas,314,19286,1.63%
Kings,2466,151390,1.63%
Santa Barbara,7307,431555,1.69%
Placer,6138,361518,1.70%
San Diego,55233,3183143,1.74%
Trinity,237,13515,1.75%
Madera,2693,152452,1.77%
Amador,670,37159,1.80%
Monterey,7735,424927,1.82%
Calaveras,838,44921,1.87%
San Luis Obispo,5119,274184,1.87%
Glenn,526,28019,1.88%
Lake,1228,64209,1.91%
Orange,59186,3086331,1.92%
Imperial,3476,177026,1.96%
Tuolumne,1074,54347,1.98%
Marin,5443,256802,2.12%
Inyo,393,18439,2.13%
San Mateo,16272,739837,2.20%
Los Angeles,224192,9974203,2.25%
San Bernardino,47416,2078586,2.28%
Tulare,10625,451108,2.36%
Butte,5322,221578,2.40%
Fresno,23195,948844,2.44%
Sacramento,36224,1450277,2.50%
Yuba,1844,73059,2.52%
Riverside,57986,2266899,2.56%
Tehama,1623,63284,2.56%
Sutter,2447,95067,2.57%
Santa Cruz,7005,267203,2.62%
Merced,6898,261609,2.64%
Contra Costa,28555,1081232,2.64%
Alpine,32,1202,2.66%
Stanislaus,14274,522794,2.73%
Del Norte,804,28066,2.86%
Humboldt,3926,134876,2.91%
San Joaquin,21409,701050,3.05%
Solano,13161,421624,3.12%
Yolo,6644,204162,3.25%
Kern,29604,857730,3.45%
Alameda,66731,1559308,4.28%
San Francisco,50012,829072,6.03%
