,5,Population,Robbery Rate
Alpine,0,1202,0.000%
Sierra,0,3019,0.000%
Mono,1,14193,0.007%
Mariposa,2,17946,0.011%
Nevada,17,98606,0.017%
Calaveras,9,44921,0.020%
Siskiyou,9,44261,0.020%
Modoc,2,9335,0.021%
Tuolumne,13,54347,0.024%
Amador,9,37159,0.024%
Plumas,5,19286,0.026%
San Luis Obispo,77,274184,0.028%
Lassen,10,33356,0.030%
El Dorado,55,181465,0.030%
Placer,131,361518,0.036%
Colusa,9,21424,0.042%
Shasta,77,178520,0.043%
Imperial,80,177026,0.045%
Tehama,30,63284,0.047%
Inyo,9,18439,0.049%
Sonoma,243,491790,0.049%
Napa,70,139253,0.050%
San Benito,29,56888,0.051%
Marin,145,256802,0.056%
Glenn,16,28019,0.057%
Kings,88,151390,0.058%
Mendocino,51,87612,0.058%
Madera,94,152452,0.062%
Ventura,527,835790,0.063%
Trinity,9,13515,0.067%
Santa Cruz,182,267203,0.068%
Santa Barbara,295,431555,0.068%
Sutter,65,95067,0.068%
Orange,2209,3086331,0.072%
San Mateo,552,739837,0.075%
Butte,167,221578,0.075%
Merced,202,261609,0.077%
Yuba,61,73059,0.083%
Yolo,176,204162,0.086%
Tulare,389,451108,0.086%
Monterey,368,424927,0.087%
San Diego,2891,3183143,0.091%
Del Norte,26,28066,0.093%
Riverside,2149,2266899,0.095%
Lake,62,64209,0.097%
Fresno,918,948844,0.097%
Humboldt,149,134876,0.110%
Stanislaus,724,522794,0.138%
Sacramento,2035,1450277,0.140%
Contra Costa,1519,1081232,0.140%
Kern,1238,857730,0.144%
San Bernardino,3103,2078586,0.149%
Solano,661,421624,0.157%
Los Angeles,18607,9974203,0.187%
San Joaquin,1560,701050,0.223%
Alameda,4916,1559308,0.315%
San Francisco,3173,829072,0.383%
